#Timestamp Index Source_Key Target_Key Source_Xmin Source_Xmax Source_Ymin Source_Ymax Target_Xmin Target_Xmax Target_Ymin Target_Ymax IoU totalscore matchlabel isWithinImage isInFront
0.000000000 1 8286623314361712641 8142508126285856768 303.373809814 342.355255127 197.116333008 280.020690918 305.239021546 346.451601787 199.235046677 296.989187896 0.703537698 0.615041854 5 1 1
0.000000000 1 8286623314361712642 8142508126285856775 378.284698486 397.073944092 212.344451904 242.837860107 375.793731192 394.884267408 210.205000278 238.713177473 0.644187714 0.714734813 4 1 1
0.000000000 1 8286623314361712643 8142508126285856787 284.382202148 300.162170410 280.750732422 300.668029785 284.234627179 299.910626567 279.967718609 298.502103077 0.837364658 0.708823815 5 1 1
0.000000000 1 8286623314361712644 8142508126285856773 235.030754089 261.940437317 263.635467529 283.050262451 230.572097387 255.963896198 266.568229206 280.775176992 0.507683838 0.659419106 4 1 1
0.000000000 1 8286623314361712645 8142508126285856901 253.676879883 285.387634277 220.830261230 266.999511719 266.396075406 286.535311960 231.556901122 273.343307850 0.412319380 0.530071457 5 1 1
0.000000000 1 8286623314361712646 8142508126285856772 151.360404968 341.449958801 260.715728760 348.661041260 154.132913578 346.121044111 272.713304159 348.850549737 0.831528196 0.992263740 5 1 1
0.050000000 2 8286623314361712641 8142508126285856768 304.572631836 347.856079102 202.688133240 306.695350647 306.337004658 347.286442447 204.481805306 302.831068123 0.894609967 0.520383776 5 1 1
0.050000000 2 8286623314361712642 8142508126285856920 136.282806396 189.302703857 371.312194824 465.832458496 209.260411177 230.536627638 366.918452746 550.343055708 0.000000000 0.970463626 4 1 1
0.050000000 2 8286623314361712643 8142508126285856901 253.972053528 284.060112000 224.986450195 271.614562988 266.828583771 287.045242845 236.486345857 278.474002785 0.367639094 0.547784496 5 1 1
0.050000000 2 8286623314361712644 8142508126285856775 379.513702393 398.482025146 218.497619629 248.529357910 377.208106908 396.356091275 216.155534073 244.784023379 0.655789341 0.600609237 5 1 1
0.050000000 2 8286623314361712645 8142508126285856777 428.220703125 464.326599121 228.479591370 271.840110779 436.640824242 454.696993951 226.991243975 260.950953481 0.368181443 0.145072218 4 1 1
0.100000000 3 8286623314361712640 8142508126285856901 254.336601257 286.846015930 230.851226807 279.986206055 268.719069260 289.019030792 242.581668107 284.787800545 0.381751714 0.526697093 5 1 1
0.100000000 3 8286623314361712641 8142508126285856787 285.647735596 301.622467041 293.063568115 313.737518311 284.979531706 300.883798246 292.027412834 310.882107000 0.756969238 0.546695415 5 1 1
0.100000000 3 8286623314361712642 8142508126285856768 307.193878174 346.407135010 208.904144287 292.249847412 308.904379253 349.644537202 210.792132772 309.774036378 0.719490428 0.639726568 5 1 1
0.100000000 3 8286623314361712643 8142508126285856775 382.421325684 401.386901855 225.798919678 256.216888428 380.134880704 399.362109899 223.125687389 251.894310114 0.642591330 0.707834647 5 1 1
0.100000000 3 8286623314361712645 8142508126285856772 149.942657471 343.535156250 271.098022461 362.248718262 153.091119021 347.350604614 282.853882635 362.193351706 0.841823589 0.991799308 5 1 1
0.150000000 4 8286623314361712640 8142508126285856774 258.084716797 287.099426270 236.821533203 279.694580078 255.592730262 283.730344156 233.009890619 275.235592240 0.680858640 0.776709324 5 1 1
0.150000000 4 8286623314361712642 8142508126285856787 287.303161621 303.766296387 299.183685303 319.299041748 287.019285060 303.051948179 298.207209910 317.227784207 0.807447200 0.785010923 5 1 1
0.150000000 4 8286623314361712643 8142508126285856775 384.602844238 403.533142090 229.493690491 260.439109802 382.463432533 401.826480691 227.002830255 255.883823681 0.658271811 0.680429256 5 1 1
