1,0,305.239021546,199.235046677,41.212580241,97.754141218,-1,-1,-1
1,7,375.793731192,210.205000278,19.090536216,28.508177195,-1,-1,-1
1,19,284.234627179,279.967718609,15.675999388,18.534384468,-1,-1,-1
1,5,230.572097387,266.568229206,25.391798811,14.206947786,-1,-1,-1
1,133,266.396075406,231.556901122,20.139236554,41.786406728,-1,-1,-1
1,4,154.132913578,272.713304159,191.988130533,76.137245578,-1,-1,-1
2,0,306.337004658,204.481805306,40.949437789,98.349262817,-1,-1,-1
2,152,209.260411177,366.918452746,21.276216461,183.424602962,-1,-1,-1
2,133,266.828583771,236.486345857,20.216659074,41.987656929,-1,-1,-1
2,7,377.208106908,216.155534073,19.147984367,28.628489306,-1,-1,-1
2,9,436.640824242,226.991243975,18.056169708,33.959709507,-1,-1,-1
3,133,268.719069260,242.581668107,20.299961531,42.206132439,-1,-1,-1
3,19,284.979531706,292.027412834,15.904266541,18.854694166,-1,-1,-1
3,0,308.904379253,210.792132772,40.740157948,98.981903606,-1,-1,-1
3,7,380.134880704,223.125687389,19.227229194,28.768622725,-1,-1,-1
3,4,153.091119021,282.853882635,194.259485593,79.339469071,-1,-1,-1
4,6,255.592730262,233.009890619,28.137613895,42.225701621,-1,-1,-1
4,19,287.019285060,298.207209910,16.032663119,19.020574297,-1,-1,-1
4,7,382.463432533,227.002830255,19.363048158,28.880993426,-1,-1,-1
4,12,274.557883003,251.428558003,15.876592087,34.018184558,-1,-1,-1
4,4,154.243552670,290.168502548,196.384506164,78.681148606,-1,-1,-1
4,0,310.914300181,215.622344174,41.565534149,99.199965156,-1,-1,-1
5,133,271.066144968,252.259494464,20.388683506,42.710147886,-1,-1,-1
5,6,255.812749866,237.007406116,28.145601513,42.486457655,-1,-1,-1
5,7,383.151913417,229.349177331,19.479987006,28.976962099,-1,-1,-1
5,5,233.835411195,288.538418208,25.978089566,14.602433738,-1,-1,-1
5,12,275.009685187,255.394710057,15.731639517,34.310364268,-1,-1,-1
5,0,311.322407354,218.802552572,42.315840265,99.384025171,-1,-1,-1
5,4,153.847436604,295.690920947,198.364144376,78.132074636,-1,-1,-1
5,9,443.643657692,239.699659914,18.170926539,34.722730596,-1,-1,-1
5,14,434.043363334,248.707579291,23.478100700,30.376928550,-1,-1,-1
6,0,317.234795567,215.999461844,42.711486473,99.605013672,-1,-1,-1
6,19,293.318216406,300.990006324,16.232248709,19.258049814,-1,-1,-1
6,7,389.386782800,226.198867704,19.610385822,29.103660856,-1,-1,-1
6,6,261.577305162,234.659060443,28.148974206,42.639109781,-1,-1,-1
6,9,450.365571857,236.489728552,18.300833454,34.982598354,-1,-1,-1
6,12,280.859209312,253.098394249,15.679684334,34.463552997,-1,-1,-1
6,14,440.684340742,245.688992005,23.698204862,30.592300689,-1,-1,-1
6,153,188.762669083,365.583760380,36.759784519,68.545259701,-1,-1,-1
6,12,280.859209312,253.098394249,15.679684334,34.463552997,-1,-1,-1
6,137,433.975339985,231.956969030,29.240743212,39.597049381,-1,-1,-1
6,4,159.376995045,294.193858161,199.237623377,78.022334935,-1,-1,-1
7,0,329.874366938,210.464533571,43.345821952,99.747198422,-1,-1,-1
7,19,306.335853236,296.468778951,16.294992155,19.314596663,-1,-1,-1
7,6,274.245930740,229.794229381,28.096206477,42.762200524,-1,-1,-1
7,7,402.442904709,219.991420137,19.817368766,29.265952628,-1,-1,-1
7,12,293.699780870,248.194410728,15.529004297,34.612682022,-1,-1,-1
7,9,464.280358769,229.903420757,18.506344636,35.349383766,-1,-1,-1
7,137,447.607635611,225.427856586,29.649980425,39.922460485,-1,-1,-1
7,4,172.686574927,290.252524298,199.660980430,77.488118721,-1,-1,-1
7,22,172.180976812,282.359370540,19.142109688,20.283429341,-1,-1,-1
7,14,454.504606595,239.347777322,24.044336934,30.871253182,-1,-1,-1
8,19,320.592240487,291.657193933,16.367041862,19.370868208,-1,-1,-1
8,6,288.032616372,224.726357653,28.063439490,42.892096345,-1,-1,-1
8,7,416.679484331,213.465364217,20.056886575,29.445063581,-1,-1,-1
8,12,307.693319185,243.063352626,15.379391715,34.772430362,-1,-1,-1
8,4,187.249942258,286.081191390,200.118809689,76.915782357,-1,-1,-1
9,0,349.536329467,199.876751837,44.352773533,100.125617064,-1,-1,-1
9,6,293.833374725,220.222139209,28.101299304,43.010793568,-1,-1,-1
9,19,326.530389742,287.527194040,16.430329519,19.425107288,-1,-1,-1
